X,Y,R
0.529793,-54.1704,1
0.496632,-54.2907,1
0.464641,-54.4127,1
0.433832,-54.5363,1
0.404215,-54.6613,1
0.375797,-54.7877,1
0.348584,-54.9153,1
0.322577,-55.0442,1
0.29778,-55.1742,1
0.274195,-55.3052,1
0.251824,-55.4372,1
0.230666,-55.5702,1
0.210725,-55.7041,1
0.192,-55.8388,1
0.174495,-55.9742,1
0.158211,-56.1104,1
0.14315,-56.2473,1
0.129317,-56.3849,1
0.116714,-56.5231,1
0.105347,-56.6618,1
0.0952209,-56.8011,1
0.0863413,-56.9409,1
0.0787154,-57.0811,1
0.072351,-57.2218,1
0.0672569,-57.3629,1
0.0634428,-57.5043,1
0.0609196,-57.6461,1
0.0596992,-57.7882,1
0.0597946,-57.9305,1
0.0612202,-58.0731,1
0.0639914,-58.2159,1
0.0681252,-58.3588,1
0.0736399,-58.5019,1
0.0805554,-58.6451,1
