X,Y,R
-1.29413,-0.230646,5
-1.348,-0.171883,5
-1.40133,-0.112503,5
-1.4541,-0.0527168,5
-1.50628,0.00725871,5
-1.55787,0.0672081,5
-1.60883,0.126916,5
-1.65914,0.186166,5
-1.7088,0.244747,5
-1.75777,0.302447,5
-1.80604,0.359058,5
-1.85358,0.414378,5
-1.90038,0.468205,5
-1.94643,0.520348,5
-1.99169,0.570618,5
-2.03616,0.618835,5
-2.07981,0.664824,5
-2.12264,0.708421,5
-2.16461,0.749468,5
-2.20572,0.787818,5
-2.24594,0.823333,5
-2.28527,0.855885,5
-2.32368,0.885356,5
-2.36116,0.911641,5
-2.3977,0.934645,5
-2.43328,0.954285,5
-2.46789,0.970491,5
-2.5015,0.983204,5
-2.53412,0.992379,5
-2.56573,0.997982,5
-2.59631,0.999994,5
-2.62585,0.998406,5
-2.65434,0.993226,5
-2.68176,0.984471,5
-2.70812,0.972173,5
-2.73339,0.956376,5
-2.75757,0.937137,5
-2.78065,0.914526,5
-2.80261,0.888623,5
-2.82345,0.859522,5
-2.84316,0.827328,5
-2.86174,0.792156,5
-2.87917,0.754134,5
-2.89545,0.713397,5
-2.91057,0.670093,5
-2.92453,0.624377,5
-2.93732,0.576414,5
-2.94893,0.526377,5
-2.95936,0.474445,5
-2.96861,0.420806,5
-2.97668,0.365653,5
-2.98355,0.309183,5
-2.98923,0.251601,5
-2.99371,0.193113,5
-2.99699,0.13393,5
-2.99908,0.0742654,5
-2.99997,0.0143334,5
-2.99965,-0.0456502,5
-2.99814,-0.10547,5
-2.99543,-0.164909,5
-2.99152,-0.223756,5
-2.98641,-0.281797,5
-2.98011,-0.338823,5
-2.97261,-0.394631,5
-2.96393,-0.449018,5
-2.95406,-0.501789,5
-2.94301,-0.552755,5
-2.93079,-0.601731,5
-2.91739,-0.648541,5
-2.90282,-0.693017,5
-2.88709,-0.735,5
-2.87021,-0.774337,5
-2.85218,-0.810887,5
-2.83301,-0.844519,5
-2.81271,-0.875111,5
-2.79128,-0.902555,5
-2.76873,-0.92675,5
-2.74508,-0.947609,5
-2.72033,-0.965058,5
-2.69449,-0.979034,5
-2.66757,-0.989487,5
-2.63959,-0.996379,5
-2.61055,-0.999684,5
-2.58047,-0.999392,5
-2.54935,-0.995503,5
